term_type,term_group,term,surprisal,surprisal_type,frequency
bio,candida albicans|thrush,candida albicans,-0.3389914485420277,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3606023776455902,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2939680092934551,semantic,76
bio,candida albicans|thrush,candida albicans,-0.288918996248605,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2623961002918672,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2786885902446907,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2152863850362748,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3872537254715887,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2514556133734184,semantic,76
bio,candida albicans|thrush,candida albicans,-0.1898896876190081,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2444537516419257,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3827020954317903,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3898700357650386,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3076045020460122,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4242620031344998,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4299074474032358,semantic,76
bio,candida albicans|thrush,candida albicans,-0.393597969871058,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4163893434200234,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3296147531438149,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4037995726031109,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2464106059077715,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4036533388107886,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4399996751839032,semantic,76
bio,candida albicans|thrush,candida albicans,-0.1964533906469048,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3453064424125202,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2420116952242123,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3561988869821381,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3776948933799418,semantic,76
bio,candida albicans|thrush,candida albicans,-0.269135120150045,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3868519977496411,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2839601537439808,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2822229347136068,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4287198811475739,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4321237714704833,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4795584575674986,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3628545931993751,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2202814445105432,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3109253427808124,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4171839896541354,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4024214142562042,semantic,76
bio,candida albicans|thrush,candida albicans,-0.419669085823054,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2803621170971686,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3667888102108697,semantic,76
bio,candida albicans|thrush,candida albicans,-0.328162448820479,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2980591466004406,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3027987283406066,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2372210161484709,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2115139813808467,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2627328918617165,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3015370581662464,semantic,76
bio,candida albicans|thrush,candida albicans,-0.1653147721674888,semantic,76
bio,candida albicans|thrush,candida albicans,-0.6624512376596734,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2920124016117786,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2387719167125039,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2451275317138886,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2605523712203686,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4842741253696586,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2954964551813683,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4574446786343818,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3977953241111175,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4532218303524205,semantic,76
bio,candida albicans|thrush,candida albicans,-0.5518857896754236,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3828828458636932,semantic,76
bio,candida albicans|thrush,candida albicans,-0.5105562045366302,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3278392033232868,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3693844617913215,semantic,76
bio,candida albicans|thrush,candida albicans,-0.372109335212785,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2440527310377611,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4085635318370614,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2824178105489903,semantic,76
bio,candida albicans|thrush,candida albicans,-0.4085546107280001,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2857892775862417,semantic,76
bio,candida albicans|thrush,candida albicans,-0.2441686451667939,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3289119806639405,semantic,76
bio,candida albicans|thrush,candida albicans,-0.3969247502486978,semantic,76
bio,candida albicans|thrush,candida albicans,-0.486889924010493,semantic,76
usual,candida albicans|thrush,thrush,3.0104079345949697,semantic,9
usual,candida albicans|thrush,thrush,2.892825311617796,semantic,9
usual,candida albicans|thrush,thrush,2.710881045440037,semantic,9
usual,candida albicans|thrush,thrush,3.015465768911362,semantic,9
usual,candida albicans|thrush,thrush,2.9967296960698757,semantic,9
usual,candida albicans|thrush,thrush,2.7448243383635544,semantic,9
usual,candida albicans|thrush,thrush,2.7949630391508147,semantic,9
usual,candida albicans|thrush,thrush,3.032716192280749,semantic,9
