term_type,term_group,term,surprisal,surprisal_type,frequency
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.463101164134835,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.480420059380078,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.464050333453904,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4533053772978155,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.461971224635456,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.477449561964354,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.46468836597839,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.455242678517834,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.473793867027684,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.454186343005838,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.474267181404073,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.46848031801484,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4804807909383015,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.465529474990341,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.386555593521136,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4532232113370505,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.442813665764522,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.46925468835573,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.471284011384522,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.466103658532951,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4716577736643535,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.473285314427083,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4639161323453065,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.466342226547085,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.478079218309428,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.453526839195244,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.448890755582019,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.47457042627377,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.467931841578243,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.473187175840922,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.472309210645543,semantic,136
